res,treatment,midx,cidx
6.33691398789296,1,5,1
6.30626999798174,1,5,2
6.30322780372021,1,5,3
6.29319463363087,1,2,4
6.28110329334032,1,5,5
6.24930884484092,1,4,6
6.2286267121636,1,7,7
6.22282604723834,1,4,8
6.21351972159311,1,11,9
6.19421938363576,1,7,10
6.18774856558864,1,7,11
6.17262158058722,1,3,12
6.14755817184346,1,5,13
6.14736973581964,1,2,14
6.12859939341648,1,4,15
6.11991296546353,1,3,16
6.09742082405975,1,8,17
6.09335316297641,1,5,18
6.08031450625612,1,10,19
6.04158031426428,1,6,20
6.04032219098711,1,8,21
6.02323552039486,1,3,22
6.01947622921751,1,5,23
6.01912490686107,1,8,24
6.00247959871904,1,8,25
5.9969976449502,1,5,26
5.99687022421284,1,5,27
5.99088923347556,1,7,28
5.98689224543094,1,8,29
5.98336971585817,1,8,30
5.98059964493217,1,3,31
5.95284079217735,1,8,32
5.9271385313897,1,4,33
5.91664139868453,1,5,34
5.90546370268205,1,7,35
5.8782196631988,1,6,36
5.84482211071417,1,3,37
5.82918242578938,1,7,38
5.82361151207094,1,5,39
5.82157330078666,1,5,40
5.81263552369576,1,4,41
5.79984330269241,1,5,42
5.79077533869503,1,3,43
5.78443774863516,1,3,44
5.78376115841146,1,8,45
5.77971792851539,1,1,46
5.77527126596461,1,6,47
5.77089962033544,1,2,48
5.76577436320414,1,10,49
5.75699030974454,1,9,50
5.7426328598734,1,8,51
5.74020895077815,1,3,52
5.73887238933525,1,5,53
5.72867937986117,1,8,54
5.71230730572612,1,5,55
5.70558979919403,1,3,56
5.70255136074691,1,3,57
5.70055109175782,1,2,58
5.68701161451352,1,6,59
5.66889438334871,1,5,60
5.65283234890488,1,8,61
5.65096091963426,1,7,62
5.63157671820503,1,10,63
5.62818893372007,1,2,64
5.62492070858469,1,8,65
5.62181874438185,1,9,66
5.60474901274408,1,2,67
5.60112837343227,1,5,68
5.58926180575175,1,3,69
5.58332705463285,1,3,70
5.56561561918734,1,2,71
5.53923203923694,1,11,72
5.53746657094164,1,7,73
5.53356821388974,1,1,74
5.53238774029063,1,4,75
5.52642079082896,1,7,76
5.51879635497959,1,8,77
5.51238679832337,1,8,78
5.50594528554138,1,5,79
5.50183163550252,1,7,80
5.49845580080568,1,7,81
5.49583342451775,1,8,82
5.48483057784881,1,7,83
5.46921006070473,1,4,84
5.45813892751791,1,8,85
5.45441266101318,1,1,86
5.4534522097014,1,7,87
5.4308849328434,1,3,88
5.42462954626376,1,8,89
5.41693094616919,1,5,90
5.40101756905599,1,7,91
5.39559634777834,1,5,92
5.36056276835819,1,11,93
5.35058408505626,1,2,94
5.34919391040162,1,2,95
5.3483403600387,1,5,96
5.33707741599421,1,8,97
5.32871029481633,1,1,98
5.32513661530177,1,7,99
5.31965955901725,1,8,100
5.30557151758124,1,5,101
5.29539523453541,1,5,102
5.28604404245719,1,4,103
5.277711435755,1,1,104
5.2444226390294,1,7,105
5.24327519378453,1,7,106
5.24275779942191,1,3,107
5.24200421529979,1,3,108
5.24157492724399,1,7,109
5.24092325570023,1,3,110
5.24019239732118,1,2,111
5.19790300428156,1,2,112
5.19357217952063,1,1,113
5.19330238253506,1,8,114
5.19141545384859,1,8,115
5.18832825172805,1,3,116
5.18463643342704,1,4,117
5.17718159893717,1,1,118
5.17614941617371,1,2,119
5.16798104369946,1,8,120
5.16615319322195,1,8,121
5.15895067867669,1,7,122
5.15768243107872,1,3,123
5.15147528366097,1,1,124
5.14624786215541,1,11,125
5.14577492616114,1,5,126
5.14484327479855,1,4,127
5.12047885543743,1,8,128
5.11169539762984,1,7,129
5.10104949816674,1,8,130
5.10070819024462,1,8,131
5.09080771396459,1,1,132
5.08827921876889,1,2,133
5.08650104742396,1,3,134
5.08305485704473,1,9,135
5.08076184250022,1,7,136
5.07390654507995,1,7,137
5.06795955259703,1,3,138
5.06151354928102,1,2,139
5.05885337990534,1,3,140
5.04266472833296,1,5,141
5.03749099384645,1,3,142
5.0341360158964,1,3,143
5.02852658039852,1,8,144
5.02806909513368,1,4,145
5.0261107287855,1,3,146
5.01941685187446,1,5,147
5.01654281506126,1,8,148
5.01119950978477,1,10,149
5.00499141478237,1,1,150
4.99964412923478,1,8,151
4.98767818584318,1,9,152
4.98556775870357,1,8,153
4.95664786347178,1,1,154
4.94579343250761,1,7,155
4.93505096431014,1,4,156
4.91993714625089,1,11,157
4.89951934697409,1,8,158
4.88456436344925,1,2,159
4.8809275992405,1,3,160
4.87875236624154,1,7,161
4.85243749782339,1,5,162
4.84994883849065,1,5,163
4.83547417816576,1,1,164
4.81455395311862,1,7,165
4.81018559405225,1,3,166
4.8045389915039,1,8,167
4.79511663781518,1,7,168
4.7864600537571,1,4,169
4.78093715841343,1,8,170
4.7767232882144,1,3,171
4.77667178114013,1,2,172
4.77584761335594,1,6,173
4.77346801893557,1,10,174
4.76517764612277,1,6,175
4.75823868509296,1,2,176
4.75392368161794,1,9,177
4.7531273159942,1,5,178
4.75050716715646,1,3,179
4.71476444480992,1,3,180
4.69728754259041,1,2,181
4.68615398009211,1,7,182
4.67933807699445,1,5,183
4.67326330585687,1,8,184
4.66216796425207,1,8,185
4.6604327877494,1,8,186
4.64061138950685,1,8,187
4.63172006714359,1,7,188
4.62530574159729,1,7,189
4.62143410450516,1,9,190
4.62042078768681,1,2,191
4.61411787553174,1,4,192
4.60132989232747,1,2,193
4.59451958689053,1,4,194
4.59173516721557,1,7,195
4.59056484926592,1,2,196
4.5891068379757,1,7,197
4.58473728541133,1,1,198
